timestamp,action,system_id,old_project_id,new_project_id,old_name,new_name,old_description,new_description,old_building_id,new_building_id,old_building,new_building,old_discipline_id,new_discipline_id,old_discipline,new_discipline,old_timeUpdated,new_timeUpdated,old_checklist_id,new_checklist_id,old_checklist_name,new_checklist_name,old_handover_date,new_handover_date
2025-03-17T12:18:58.727548,update,429917,24296,24296,GFTX_CP1_DCR-001092 Phase 2,GFTX_CP1_DCR-001092 Phase 2,,,36641,36641,CP1,CP1,,,,,2025-03-17T11:00:33.123000,2025-03-17T17:00:32.465010+00:00,15078429,16182928,GFTX_CP1_DCR-001092 Phase 2 - GFTX_CC_MECHANICAL_PIPING_TP3672_MPCA,GFTX_CP1_DCR-001092 Phase 2 - GFTX_DCR_CXC_COMMISSIONING_COMPLETION_CERTIFICATE_MECH,,
2025-03-17T12:18:59.783607,update,307844,24296,24296,GFTX_CP1_DCR-001097,GFTX_CP1_DCR-001097,Materials Lab,Materials Lab,36641,36641,CP1,CP1,,,,,2025-03-17T11:00:33.123000,2025-03-17T17:00:32.465010+00:00,11939429,11939429,GFTX_CP1_DCR-001097 - GFTX_CFX_FACILITIES_OPERATIONS_COMPLETION,GFTX_CP1_DCR-001097 - GFTX_DCR_CXC_COMMISSIONING_COMPLETION_CERTIFICATE_MECH,,
2025-03-17T12:19:00.844891,update,288824,24296,24296,GFTX_CP1_DCR-001113,GFTX_CP1_DCR-001113,3F Tabless Additional Welders & Winders,3F Tabless Additional Welders & Winders,36641,36641,CP1,CP1,,,,,2025-03-17T11:00:33.123000,2025-03-17T17:00:32.465010+00:00,11075839,11939433,GFTX_CP1_DCR-001113 - GFTX_CC_MECHANICAL_PIPING_TP2717_MPCA,GFTX_CP1_DCR-001113 - GFTX_DCR_CXC_COMMISSIONING_COMPLETION_CERTIFICATE_MECH,,
2025-03-17T12:19:01.898394,update,242398,24296,24296,GFTX_CP1_DCR-001126 Phase 1,GFTX_CP1_DCR-001126 Phase 1,2F Tabless Dust Collection Upgrade for DCP-132-002,2F Tabless Dust Collection Upgrade for DCP-132-002,36641,36641,CP1,CP1,,,,,2025-03-17T11:00:33.123000,2025-03-17T17:00:32.465010+00:00,11939437,11939437,GFTX_CP1_DCR-001126 Phase 1 - GFTX_CC_MECHANICAL_PIPING_TP1965_MPCA,GFTX_CP1_DCR-001126 Phase 1 - GFTX_DCR_CXC_COMMISSIONING_COMPLETION_CERTIFICATE_MECH,,
2025-03-17T12:19:02.977245,update,239317,24296,24296,GFTX_CP1_DCR-001126 Phase 2,GFTX_CP1_DCR-001126 Phase 2,2F Tabless Dust Collection Upgrade DCP-132-001,2F Tabless Dust Collection Upgrade DCP-132-001,36641,36641,CP1,CP1,,,,,2025-03-17T11:00:33.123000,2025-03-17T17:00:32.465010+00:00,11939441,11939441, GFTX_CP1_DCR-001126 Phase 2 - GFTX_CC_MECHANICAL_PIPING_TP1965B_MPCA,GFTX_CP1_DCR-001126 Phase 2 - GFTX_DCR_CXC_COMMISSIONING_COMPLETION_CERTIFICATE_MECH,,
2025-03-17T12:19:04.051827,update,272347,24296,24296,GFTX_CP1_DCR-001126 Phase 3,GFTX_CP1_DCR-001126 Phase 3,DCP-132-001 redundant filters/ducting and PDITs,DCP-132-001 redundant filters/ducting and PDITs,36641,36641,CP1,CP1,,,,,2025-03-17T11:00:33.123000,2025-03-17T17:00:32.465010+00:00,10462353,11939445,GFTX_CP1_DCR-001126 Phase 3 - GFTX_CC_MECHANICAL_DUCTING,GFTX_CP1_DCR-001126 Phase 3 - GFTX_DCR_CXC_COMMISSIONING_COMPLETION_CERTIFICATE_MECH,,
2025-03-17T12:19:05.116151,update,272348,24296,24296,GFTX_CP1_DCR-001126 Phase 4,GFTX_CP1_DCR-001126 Phase 4,DCP-132-002 redundant filters/ducting and PDITs,DCP-132-002 redundant filters/ducting and PDITs,36641,36641,CP1,CP1,,,,,2025-03-17T11:00:33.123000,2025-03-17T17:00:32.465010+00:00,10462354,11939449,GFTX_CP1_DCR-001126 Phase 4 - GFTX_CC_MECHANICAL_DUCTING,GFTX_CP1_DCR-001126 Phase 4 - GFTX_DCR_CXC_COMMISSIONING_COMPLETION_CERTIFICATE_MECH,,
2025-03-17T12:19:06.146276,update,283733,24296,24296,GFTX_CP1_DCR-001127 Phase 1,GFTX_CP1_DCR-001127 Phase 1,Electrolyte Exhaust Abatement for CP1 & CP2,Electrolyte Exhaust Abatement for CP1 & CP2,36641,36641,CP1,CP1,,,,,2025-03-17T11:00:33.123000,2025-03-17T17:00:32.465010+00:00,11878426,12225031,GFTX_CP1_DCR-001127 Phase 1 - GFTX_CC_MECHANICAL_PIPING_TP3142_LTCW,GFTX_CP1_DCR-001127 Phase 1 - GFTX_DCR_CXC_COMMISSIONING_COMPLETION_CERTIFICATE_MECH,,
2025-03-17T12:19:07.203438,update,317909,24296,24296,GFTX_CP1_DCR-001127 Phase 2,GFTX_CP1_DCR-001127 Phase 2,RTO,RTO,36641,36641,CP1,CP1,,,,,2025-03-17T11:00:33.123000,2025-03-17T17:00:32.465010+00:00,11069484,11246612,GFTX_CP1_DCR-001127 Phase 2 - GFTX_CC_MECHANICAL_PIPING_TP2715_MPCA,GFTX_CP1_DCR-001127 Phase 2 - GFTX_PSSR_RTO,,
2025-03-17T12:19:08.255718,update,367392,24296,24296,GFTX_CP1_DCR-001127 Phase 3,GFTX_CP1_DCR-001127 Phase 3,RTO_LS,RTO_LS,36641,36641,CP1,CP1,,,,,2025-03-17T11:00:33.123000,2025-03-17T17:00:32.465010+00:00,14450993,14930548,GFTX_CP1_DCR-001127 Phase 3 - GFTX_CFX_FACILITIES_OPERATIONS_COMPLETION,GFTX_CP1_DCR-001127 Phase 3 - GFTX_DCR_CXC_COMMISSIONING_COMPLETION_CERTIFICATE_ELEC,,
2025-03-17T12:19:09.289883,update,259056,24296,24296,GFTX_CP1_DCR-001135,GFTX_CP1_DCR-001135,Can Stamping Line 2 Utility Relocations,Can Stamping Line 2 Utility Relocations,36641,36641,CP1,CP1,,,,,2025-03-17T11:00:33.123000,2025-03-17T17:00:32.465010+00:00,10477834,11436974,GFTX_CP1_DCR-001135 - GFTX_CC_MECHANICAL_PIPING_TP2432_LTCW,GFTX_CP1_DCR-001135 - GFTX_DCR_CXC_COMMISSIONING_COMPLETION_CERTIFICATE_MECH,,
2025-03-17T12:19:10.357634,update,267371,24296,24296,GFTX_CP1_DCR-001153,GFTX_CP1_DCR-001153,North MRC4E,North MRC4E,36641,36641,CP1,CP1,281689,281689,Controls,Controls,2025-03-17T11:00:33.123000,2025-03-17T17:00:32.465010+00:00,11258260,11258260,GFTX_CP1_DCR-001153 - GFTX_CFX_FACILITIES_OPERATIONS_COMPLETION,GFTX_CP1_DCR-001153 - GFTX_DCR_CXC_COMMISSIONING_COMPLETION_CERTIFICATE_CTRLS,,
2025-03-17T12:19:11.420817,update,311049,24296,24296,GFTX_CP1_DCR-001162,GFTX_CP1_DCR-001162,Electrolyte Life Safety Additional Requirements,Electrolyte Life Safety Additional Requirements,36641,36641,CP1,CP1,,,,,2025-03-17T11:00:33.123000,2025-03-17T17:00:32.465010+00:00,11939467,14930685,GFTX_CP1_DCR-001162 - GFTX_CFX_FACILITIES_OPERATIONS_COMPLETION,GFTX_CP1_DCR-001162 - GFTX_DCR_CXC_COMMISSIONING_COMPLETION_CERTIFICATE_ELEC,,
2025-03-17T12:19:12.456645,update,299520,24296,24296,GFTX_CP1_DCR-001178,GFTX_CP1_DCR-001178,2F - Tabless Office,2F - Tabless Office,36641,36641,CP1,CP1,,,,,2025-03-17T11:00:33.123000,2025-03-17T17:00:32.465010+00:00,11939471,13570169,GFTX_CP1_DCR-001178 - GFTX_CC_MECHANICAL_PIPING_TP3242_LTCW,GFTX_CP1_DCR-001178 - GFTX_DCR_CXC_COMMISSIONING_COMPLETION_CERTIFICATE_MECH,,
